Equipo,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Att,Succ,Tkld,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Temporada
Granada,530.3,63.5,203.2,228.3,105.2,17.6,17.3,7.97,7.79,288.7,1505.2,758.2,13.5,9.97,2.95,15.8,8.03,316.1,27.1,2023-2024
Las Palmas,711.6,70.2,238.9,338.8,139.0,16.2,17.9,8.32,8.11,409.1,1886.6,954.9,15.2,12.1,3.05,17.0,9.61,498.8,41.4,2023-2024
Mallorca,520.2,60.0,174.2,235.8,115.5,17.7,13.4,6.61,5.76,259.2,1417.5,694.7,13.1,9.92,2.84,14.9,8.24,298.8,30.4,2023-2024
Osasuna,557.4,56.5,164.3,250.7,147.0,18.9,13.9,6.24,6.50,276.9,1421.6,681.4,13.2,10.7,2.55,14.2,7.45,335.0,34.4,2023-2024
Rayo Vallecano,572.6,60.7,189.7,254.5,134.0,17.6,17.2,7.45,8.05,287.0,1477.2,706.4,13.3,9.68,3.05,16.7,9.82,346.6,34.9,2023-2024
Real Madrid,754.5,64.6,207.4,348.4,205.6,30.4,23.4,10.6,10.3,486.4,2569.4,1380.2,25.0,21.1,8.29,12.6,8.21,569.5,50.6,2023-2024
Real Sociedad,613.7,58.3,182.5,294.9,141.5,20.2,17.9,8.45,7.47,341.4,1870.8,961.6,18.0,12.2,4.61,16.1,9.24,397.2,36.9,2023-2024
Sevilla,602.1,59.5,195.5,264.0,148.7,19.6,16.6,7.68,7.32,321.7,1705.4,866.9,16.7,11.8,3.84,16.3,7.37,381.7,37.0,2023-2024
Valencia,538.0,61.1,190.1,237.2,116.8,15.6,16.9,7.26,7.74,282.2,1475.9,741.8,13.7,10.5,3.58,15.3,8.37,319.2,30.3,2023-2024
Villarreal,598.1,75.8,210.6,254.9,138.2,22.3,19.0,9.24,8.66,322.3,1795.0,909.5,17.2,12.9,4.97,15.0,9.37,399.4,40.7,2023-2024
