Equipo,Derribos Tkl,Derribos TklG,Derribos 3.º def.,Derribos 3.º cent.,Derribos 3.º ataq.,Desafíos Tkl,Desafíos Att,Desafíos Tkl%,Desafíos Pérdida,Bloqueos,Bloqueos Dis,Bloqueos Pases,Intercepciones,Tkl+Int,Desp.,Err,Temporada
Athletic Club,15.3,9.53,5.71,6.95,2.63,8.03,16.7,48.0,8.68,11.0,2.79,8.24,7.32,22.6,16.6,0.11,2023-2024
Atletico de Madrid,17.2,10.5,8.11,6.92,2.18,8.61,17.7,48.7,9.05,12.1,3.00,9.11,6.74,23.9,20.9,0.21,2023-2024
Barcelona,15.0,9.55,7.13,5.87,2.03,6.39,13.8,46.5,7.37,9.55,2.55,7.00,6.76,21.8,15.1,0.45,2023-2024
Betis,18.2,11.6,8.03,7.89,2.29,9.42,18.0,52.4,8.55,11.1,2.66,8.45,9.08,27.3,21.1,0.24,2023-2024
Cadiz,17.7,10.5,8.89,6.95,1.82,8.97,19.2,46.8,10.2,11.7,3.24,8.42,7.84,25.5,20.7,0.34,2023-2024
Celta Vigo,16.5,10.1,7.95,6.39,2.16,8.11,17.4,46.5,9.32,11.4,3.05,8.37,7.82,24.3,21.9,0.24,2023-2024
Getafe,16.0,9.58,7.08,6.61,2.32,7.66,15.2,50.4,7.53,9.00,2.71,6.29,8.08,24.1,19.2,0.16,2023-2024
Girona,14.3,8.95,6.95,5.84,1.53,7.21,13.7,52.6,6.50,9.95,3.26,6.68,6.76,21.1,17.4,0.55,2023-2024
Granada,16.8,9.84,8.84,6.24,1.68,7.61,16.4,46.4,8.79,10.6,2.89,7.74,7.37,24.1,20.5,0.68,2023-2024
Las Palmas,17.4,10.4,8.63,6.92,1.87,8.03,16.7,48.2,8.63,10.9,2.58,8.37,7.39,24.8,20.0,0.37,2023-2024
Mallorca,18.1,10.2,9.13,7.39,1.53,8.95,17.3,51.8,8.34,9.71,3.45,6.26,9.61,27.7,20.7,0.26,2023-2024
Osasuna,13.8,8.18,6.50,5.29,2.03,6.39,13.6,47.0,7.21,10.5,2.84,7.68,6.92,20.7,19.9,0.42,2023-2024
Rayo Vallecano,16.6,9.79,7.34,7.42,1.82,7.11,16.0,44.4,8.89,10.8,2.76,8.03,8.11,24.7,20.9,0.32,2023-2024
Real Madrid,14.7,9.68,6.63,5.63,2.39,5.92,12.1,48.8,6.21,10.6,2.74,7.82,7.79,22.4,14.5,0.37,2023-2024
Real Sociedad,17.1,10.7,7.13,7.50,2.47,7.45,14.5,51.3,7.08,10.7,3.11,7.55,6.66,23.8,18.2,0.39,2023-2024
Sevilla,18.3,12.2,10.0,6.24,2.11,8.82,16.5,53.5,7.66,10.4,3.24,7.16,8.24,26.6,20.3,0.24,2023-2024
Valencia,17.3,9.97,8.82,6.58,1.89,8.13,16.3,50.0,8.13,10.3,2.76,7.55,8.53,25.8,22.2,0.24,2023-2024
Villarreal,15.2,9.16,7.58,5.58,2.00,6.84,14.0,48.9,7.16,10.2,3.42,6.74,8.00,23.2,20.8,0.32,2023-2024
